"","time","summary","icon","precipIntensity","precipProbability","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility","windBearing","windGust","ozone","precipType"
"1",2018-01-01 00:00:00,"Foggy","fog",0,0,10.97,10.97,8.85,0.87,1015.4,0,0,0,0.706,NA,NA,NA,NA
"2",2018-01-01 01:00:00,"Foggy","fog",0,0,10.72,10.72,8.51,0.86,NA,0,0,0,0.536,NA,NA,NA,NA
"3",2018-01-01 02:00:00,"Foggy","fog",0,0,9.42,9.42,8.1,0.92,1014.6,0,0,0,0.499,NA,NA,NA,NA
"4",2018-01-01 03:00:00,"Foggy","fog",0,0,8.92,8.92,8.16,0.95,1014.6,0,0,0,0.461,NA,NA,NA,NA
"5",2018-01-01 04:00:00,"Foggy","fog",0,0,9.26,9.26,8.06,0.92,NA,0,0,0,0.302,79,NA,NA,NA
"6",2018-01-01 05:00:00,"Foggy","fog",0,0,8.34,8.34,7.45,0.94,1014.6,0.44,0.52,0,0.116,260,NA,NA,NA
"7",2018-01-01 06:00:00,"Foggy","fog",0,0,6.65,6.65,6.33,0.98,1014.6,0.44,0.76,0,0.016,260,NA,NA,NA
"8",2018-01-01 07:00:00,"Foggy","fog",0,0,5.79,5.79,5.76,1,NA,0,1,0,0,79,NA,NA,NA
"9",2018-01-01 08:00:00,"Foggy","fog",0,0,8.07,8.07,7.54,0.97,1016.4,0,0.73,0,0,NA,NA,NA,NA
"10",2018-01-01 09:00:00,"Foggy","fog",0,0,10.27,10.27,8.55,0.89,1016.4,0,0.73,1,0.016,NA,NA,NA,NA
"11",2018-01-01 10:00:00,"Foggy","fog",0,0,10.45,10.45,8.8,0.9,NA,0,1,2,0.109,NA,NA,NA,NA
"12",2018-01-01 11:00:00,"Foggy","fog",0,0,12.38,12.38,11.33,0.93,1016.3,0,0.79,3,0.34,NA,NA,NA,NA
"13",2018-01-01 12:00:00,"Foggy","fog",0,0,15.57,15.57,11.33,0.77,1016.3,0,0.23,4,0.656,101,NA,NA,NA
"14",2018-01-01 13:00:00,"Foggy","fog",0,0,18.28,18.28,8.84,0.54,NA,0.78,0,4,0.906,280,NA,NA,NA
"15",2018-01-01 14:00:00,"Foggy","fog",0,0,19.64,19.64,8.27,0.48,1013.2,1.29,0,3,1.099,282,NA,NA,NA
"16",2018-01-01 15:00:00,"Foggy","fog",0,0,20.13,20.13,7.33,0.44,1013.2,1.88,0,2,1.305,298,NA,NA,NA
"17",2018-01-01 16:00:00,"Foggy","fog",0,0,19.82,19.82,4.88,0.37,NA,2.17,0,1,1.51,300,NA,NA,NA
"18",2018-01-01 17:00:00,"Foggy","fog",0,0,17.67,17.67,8.65,0.59,1013.4,1.2,0,0,1.104,297,NA,NA,NA
"19",2018-01-01 18:00:00,"Foggy","fog",0,0,16.16,16.16,12.65,0.79,1013.4,1.26,0,0,0.66,330,NA,NA,NA
"20",2018-01-01 19:00:00,"Foggy","fog",0,0,15.23,15.23,12.04,0.81,NA,1.55,0,0,0.608,352,NA,NA,NA
"21",2018-01-01 20:00:00,"Foggy","fog",0,0,13.08,13.08,11.44,0.9,1015,1.36,0,0,0.415,341,NA,NA,NA
"22",2018-01-01 21:00:00,"Foggy","fog",0,0,12.71,12.71,10.88,0.89,1015,0.51,0,0,0.325,327,NA,NA,NA
"23",2018-01-01 22:00:00,"Foggy","fog",0,0,12.75,12.75,11.05,0.89,NA,0,0,0,0.231,115,NA,NA,NA
"24",2018-01-01 23:00:00,"Foggy","fog",0,0,11.51,11.51,10.6,0.94,1015.5,0.51,0,0,0.063,253,NA,NA,NA
"25",2018-01-02 00:00:00,"Foggy","fog",0,0,10.44,10.44,10.1,0.98,1015.5,1.32,0,0,0.013,281,NA,NA,NA
"26",2018-01-02 01:00:00,"Foggy","fog",0,0,10.15,10.21,9.5,0.96,NA,1.83,0,0,0.075,301,NA,NA,NA
"27",2018-01-02 02:00:00,"Foggy","fog",0,0,9.51,8.98,8.78,0.95,1014.8,2.12,0,0,0.131,302,NA,NA,NA
"28",2018-01-02 03:00:00,"Foggy","fog",0,0,8.95,7.85,8.84,0.99,1014.8,2.08,0,0,0.125,297,NA,NA,NA
"29",2018-01-02 04:00:00,"Foggy","fog",0,0,9.16,8.06,9.04,0.99,NA,2.15,0,0,0.119,284,NA,NA,NA
"30",2018-01-02 05:00:00,"Foggy","fog",0,0,9.01,8.53,8.84,0.99,1015.2,1.66,0,0,0.175,282,NA,NA,NA
"31",2018-01-02 06:00:00,"Foggy","fog",0,0,9.07,8.95,8.9,0.99,1015.2,1.29,0,0,0.224,304,NA,NA,NA
"32",2018-01-02 07:00:00,"Foggy","fog",0,0,8.57,7.63,8.49,0.99,NA,1.87,0,0,0.259,299,NA,NA,NA
"33",2018-01-02 08:00:00,"Foggy","fog",0,0,8.67,8.05,8.21,0.97,1016.7,1.7,0,0,0.452,289,NA,NA,NA
"34",2018-01-02 09:00:00,"Foggy","fog",0,0,9.23,9.04,8.21,0.93,1016.7,1.29,0,1,0.617,278,NA,NA,NA
"35",2018-01-02 10:00:00,"Foggy","fog",0,0,9.45,9.18,8.5,0.94,NA,1.9,0,2,0.586,270,NA,NA,NA
"36",2018-01-02 11:00:00,"Foggy","fog",0,0,11.46,11.49,8.86,0.84,1017.2,1.36,0,3,0.693,260,NA,NA,NA
"37",2018-01-02 12:00:00,"Foggy","fog",0,0,13.59,13.59,8.8,0.73,1017.2,1.67,0,4,0.856,261,NA,NA,NA
"38",2018-01-02 13:00:00,"Foggy","fog",0,0,14.57,14.57,8.97,0.69,NA,2.15,0,4,0.956,281,NA,NA,NA
"39",2018-01-02 14:00:00,"Foggy","fog",0,0,16.31,16.31,9.48,0.64,1014.4,1.57,0,3,0.993,313,NA,NA,NA
"40",2018-01-02 15:00:00,"Foggy","fog",0,0,17.38,17.38,10.04,0.62,1014.4,1.94,0,2,1.099,259,NA,NA,NA
"41",2018-01-02 16:00:00,"Foggy","fog",0,0,17.21,17.21,9.92,0.62,NA,2.48,0,1,1.224,256,NA,NA,NA
"42",2018-01-02 17:00:00,"Foggy","fog",0,0,16.42,16.42,10.71,0.69,1014,1.77,0,0,1.099,267,NA,NA,NA
"43",2018-01-02 18:00:00,"Foggy","fog",0,0,14.8,14.8,10.15,0.74,1014,0.27,0,0,0.987,240,NA,NA,NA
"44",2018-01-02 19:00:00,"Foggy","fog",0,0,13.61,13.61,8.8,0.73,NA,0,0,0,1,71,NA,NA,NA
"45",2018-01-02 20:00:00,"Foggy","fog",0,0,12.48,12.48,9.55,0.83,1015.8,0,0,0,1.012,NA,NA,NA,NA
"46",2018-01-02 21:00:00,"Foggy","fog",0,0,12.67,12.67,10.17,0.85,1015.8,0,0,0,0.9,NA,NA,NA,NA
"47",2018-01-02 22:00:00,"Foggy","fog",0,0,12.28,12.28,9.49,0.83,NA,0,0,0,0.8,NA,NA,NA,NA
"48",2018-01-02 23:00:00,"Foggy","fog",0,0,10.24,10.24,8.94,0.92,1016.8,0,0,0,0.724,NA,NA,NA,NA
"49",2018-01-03 00:00:00,"Foggy","fog",0,0,9.81,9.81,8.94,0.94,1016.8,0,0,0,0.393,101,NA,NA,NA
"50",2018-01-03 01:00:00,"Foggy","fog",0,0,10.19,10.28,9.5,0.95,NA,1.58,0.53,0,0.124,281,NA,NA,NA
"51",2018-01-03 02:00:00,"Foggy","fog",0,0,9.8,9.12,9.8,1,1015.8,3.04,0.79,0,0.093,279,NA,NA,NA
"52",2018-01-03 03:00:00,"Foggy","fog",0,0,9.24,7.77,9.24,1,1015.8,2.57,0.73,0,0.093,265,NA,NA,NA
"53",2018-01-03 04:00:00,"Foggy","fog",0,0,9.14,7.64,8.98,0.99,NA,2.7,1,0,0.149,270,NA,NA,NA
"54",2018-01-03 05:00:00,"Foggy","fog",0,0,8.87,8.17,8.74,0.99,1014.7,1.91,0.73,0,0.193,273,NA,NA,NA
"55",2018-01-03 06:00:00,"Foggy","fog",0,0,8.94,9.15,8.18,0.95,1014.7,0.25,0.79,0,0.299,223,NA,NA,NA
"56",2018-01-03 07:00:00,"Foggy","fog",0,0,8.62,7.59,7.97,0.96,NA,1.56,0.53,0,0.405,271,NA,NA,NA
"57",2018-01-03 08:00:00,"Foggy","fog",0,0,8.38,6.91,8.06,0.98,1017.8,2.6,0,0,0.449,269,NA,NA,NA
"58",2018-01-03 09:00:00,"Foggy","fog",0,0,8.94,7.8,8.06,0.94,1017.8,2.16,0,1,0.506,276,NA,NA,NA
"59",2018-01-03 10:00:00,"Foggy","fog",0,0,9.47,8.73,8,0.9,NA,2.38,0,2,0.48,285,NA,NA,NA
"60",2018-01-03 11:00:00,"Foggy","fog",0,0,11.63,11.72,8,0.79,1018.2,2.15,0,3,0.65,290,NA,NA,NA
"61",2018-01-03 12:00:00,"Foggy","fog",0,0,13.2,13.2,8,0.71,1018.2,2.81,0,4,0.806,270,NA,NA,NA
"62",2018-01-03 13:00:00,"Foggy","fog",0,0,13.48,13.48,7.86,0.69,NA,2.63,0,4,0.887,254,NA,NA,NA
"63",2018-01-03 14:00:00,"Foggy","fog",0,0,15.46,15.46,9.27,0.67,1015,2.14,0,3,1.112,261,NA,NA,NA
"64",2018-01-03 15:00:00,"Foggy","fog",0,0,16.52,16.52,9.83,0.65,1015,2.52,0,2,1.211,265,NA,NA,NA
"65",2018-01-03 16:00:00,"Foggy","fog",0,0,16.18,16.18,8.84,0.62,NA,2.38,0,1,1.211,264,NA,NA,NA
"66",2018-01-03 17:00:00,"Foggy","fog",0,0,15.62,15.62,9.7,0.68,1014.3,1.91,0,0,1.112,264,NA,NA,NA
"67",2018-01-03 18:00:00,"Foggy","fog",0,0,13.37,13.37,9.7,0.78,1014.3,1.98,0,0,0.906,258,NA,NA,NA
"68",2018-01-03 19:00:00,"Foggy","fog",0,0,12.04,12.04,8.92,0.81,NA,1.83,0,0,0.637,247,NA,NA,NA
