"","time","summary","icon","precipIntensity","precipProbability","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","windGust","windBearing","cloudCover","uvIndex","visibility","ozone","precipType"
"1",2020-01-01 00:00:00,"Mostly Cloudy","partly-cloudy-night",0,0,6.96,6.96,-0.78,0.58,1020.3,0.96,1.77,43,0.78,0,16.093,323.2,NA
"2",2020-01-01 01:00:00,"Mostly Cloudy","partly-cloudy-night",0,0,6.54,6.54,-1.01,0.59,1020.3,0.98,1.69,47,0.64,0,16.093,323.6,NA
"3",2020-01-01 02:00:00,"Partly Cloudy","partly-cloudy-night",0,0,6.2,6.2,-1.11,0.59,1020.5,0.96,1.59,50,0.52,0,16.093,324.4,NA
"4",2020-01-01 03:00:00,"Partly Cloudy","partly-cloudy-night",0,0,5.75,5.75,-1.27,0.61,1020.3,0.92,1.48,47,0.49,0,16.093,325.3,NA
"5",2020-01-01 04:00:00,"Partly Cloudy","partly-cloudy-night",0,0,5.19,5.19,-1.4,0.62,1020,0.91,1.36,38,0.57,0,16.093,326.3,NA
"6",2020-01-01 05:00:00,"Mostly Cloudy","partly-cloudy-night",0,0,4.7,4.7,-1.43,0.64,1020,0.92,1.29,29,0.67,0,16.093,328.2,NA
"7",2020-01-01 06:00:00,"Mostly Cloudy","partly-cloudy-night",0,0,4.65,4.73,-1.19,0.66,1020.5,1.03,1.59,31,0.76,0,16.093,330.2,NA
"8",2020-01-01 07:00:00,"Mostly Cloudy","partly-cloudy-night",0,0,4.56,3.96,-0.84,0.68,1021.2,1.36,2.15,37,0.83,0,16.093,334.2,NA
"9",2020-01-01 08:00:00,"Overcast","cloudy",0,0,5.1,3.64,-0.62,0.67,1021.9,1.82,2.64,45,0.9,0,16.093,340.4,NA
"10",2020-01-01 09:00:00,"Overcast","cloudy",0,0,6.99,5.56,-0.08,0.61,1022.5,2.09,2.96,58,0.93,1,16.093,345.2,NA
"11",2020-01-01 10:00:00,"Overcast","cloudy",0,0,9.95,9.37,0.73,0.53,1023.1,2.15,3.09,77,0.94,1,16.093,348.8,NA
"12",2020-01-01 11:00:00,"Overcast","cloudy",0,0,13.1,13.17,1.2,0.44,1023.4,2.19,3.18,94,0.94,2,16.093,351.6,NA
"13",2020-01-01 12:00:00,"Overcast","cloudy",0,0,15.6,15.6,1.08,0.37,1023.1,2.33,3.4,101,0.95,2,16.093,354.6,NA
"14",2020-01-01 13:00:00,"Overcast","cloudy",0.0041,0.01,17.59,17.59,0.79,0.32,1022.2,2.54,3.59,102,0.96,2,16.093,356.2,"rain"
"15",2020-01-01 14:00:00,"Overcast","cloudy",0.0054,0.01,17.98,17.98,1.25,0.33,1021.1,2.66,3.66,102,0.97,2,16.093,356,"rain"
"16",2020-01-01 15:00:00,"Overcast","cloudy",0.0042,0.01,17.64,17.64,2.47,0.36,1020.5,2.62,3.75,100,0.97,1,16.093,356.8,"rain"
"17",2020-01-01 16:00:00,"Overcast","cloudy",0,0,17.33,17.33,3.87,0.41,1020.4,2.37,3.85,95,0.98,0,16.093,358.4,NA
"18",2020-01-01 17:00:00,"Overcast","cloudy",0,0,16.33,16.33,4.96,0.47,1020.5,2.06,4.08,90,0.97,0,16.093,360.6,NA
"19",2020-01-01 18:00:00,"Overcast","cloudy",0,0,15.61,15.61,5.78,0.52,1020.8,1.83,3.56,78,0.97,0,16.093,360.5,NA
"20",2020-01-01 19:00:00,"Overcast","cloudy",0,0,14.59,14.59,6.36,0.58,1021.3,1.72,3.11,69,0.96,0,16.093,360.9,NA
