"","time","summary","icon","precipIntensity","precipProbability","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","cloudCover","uvIndex","visibility","windBearing","windGust","ozone","precipType"
"1",2018-01-01 00:00:00,"Foggy","fog",0,0,10.72,10.72,8.75,0.88,1015.2,0,0,0,0.706,NA,NA,NA,NA
"2",2018-01-01 01:00:00,"Foggy","fog",0,0,10.84,10.84,8.51,0.86,NA,0,0,0,0.536,NA,NA,NA,NA
"3",2018-01-01 02:00:00,"Foggy","fog",0,0,9.43,9.43,8.18,0.92,1014.4,0,0,0,0.499,NA,NA,NA,NA
"4",2018-01-01 03:00:00,"Foggy","fog",0,0,8.93,8.93,8.24,0.95,1014.4,0,0,0,0.461,NA,NA,NA,NA
"5",2018-01-01 04:00:00,"Foggy","fog",0,0,9.36,9.36,8.06,0.92,NA,0,0,0,0.302,80,NA,NA,NA
"6",2018-01-01 05:00:00,"Foggy","fog",0,0,8.23,8.23,7.41,0.95,1014.4,0.25,0.3,0,0.116,260,NA,NA,NA
"7",2018-01-01 06:00:00,"Foggy","fog",0,0,6.54,6.54,6.28,0.98,1014.4,0.25,0.65,0,0.016,260,NA,NA,NA
"8",2018-01-01 07:00:00,"Foggy","fog",0,0,5.89,5.89,5.74,0.99,NA,0,1,0,0,80,NA,NA,NA
"9",2018-01-01 08:00:00,"Foggy","fog",0,0,8.13,8.13,7.79,0.98,1016.1,0,0.6,0,0,NA,NA,NA,NA
"10",2018-01-01 09:00:00,"Foggy","fog",0,0,10.33,10.33,8.79,0.9,1016.1,0,0.6,1,0.016,NA,NA,NA,NA
"11",2018-01-01 10:00:00,"Foggy","fog",0,0,10.54,10.54,8.77,0.89,NA,0,1,2,0.109,NA,NA,NA,NA
"12",2018-01-01 11:00:00,"Foggy","fog",0,0,12.4,12.4,11.36,0.93,1016.4,0,0.67,3,0.34,NA,NA,NA,NA
"13",2018-01-01 12:00:00,"Foggy","fog",0,0,15.59,15.59,11.36,0.77,1016.4,0,0.1,4,0.656,101,NA,NA,NA
"14",2018-01-01 13:00:00,"Foggy","fog",0,0,18.37,18.37,8.76,0.54,NA,0.81,0,4,0.906,280,NA,NA,NA
"15",2018-01-01 14:00:00,"Foggy","fog",0,0,19.66,19.66,8.89,0.5,1012.9,1.03,0,3,1.099,281,NA,NA,NA
"16",2018-01-01 15:00:00,"Foggy","fog",0,0,20.16,20.16,7.95,0.46,1012.9,1.63,0,2,1.305,299,NA,NA,NA
"17",2018-01-01 16:00:00,"Foggy","fog",0,0,19.9,19.9,4.8,0.36,NA,2.23,0,1,1.51,300,NA,NA,NA
"18",2018-01-01 17:00:00,"Foggy","fog",0,0,17.79,17.79,8.75,0.59,1013.2,0.94,0,0,1.104,296,NA,NA,NA
"19",2018-01-01 18:00:00,"Foggy","fog",0,0,16.28,16.28,12.75,0.79,1013.2,1.01,0,0,0.66,337,NA,NA,NA
"20",2018-01-01 19:00:00,"Foggy","fog",0,0,15.32,15.32,12.03,0.81,NA,1.61,0,0,0.608,351,NA,NA,NA
"21",2018-01-01 20:00:00,"Foggy","fog",0,0,12.97,12.97,11.42,0.9,1014.8,1.1,0,0,0.415,343,NA,NA,NA
"22",2018-01-01 21:00:00,"Foggy","fog",0,0,12.6,12.6,10.86,0.89,1014.8,0.26,0,0,0.325,323,NA,NA,NA
"23",2018-01-01 22:00:00,"Foggy","fog",0,0,12.85,12.85,11.05,0.89,NA,0,0,0,0.231,115,NA,NA,NA
"24",2018-01-01 23:00:00,"Foggy","fog",0,0,11.53,11.53,10.65,0.94,1015.3,0.26,0,0,0.063,247,NA,NA,NA
"25",2018-01-02 00:00:00,"Foggy","fog",0,0,10.47,10.47,10.15,0.98,1015.3,1.06,0,0,0.013,287,NA,NA,NA
"26",2018-01-02 01:00:00,"Foggy","fog",0,0,10.24,10.29,9.51,0.95,NA,1.87,0,0,0.075,301,NA,NA,NA
"27",2018-01-02 02:00:00,"Foggy","fog",0,0,9.53,9.12,8.71,0.95,1014.6,1.98,0,0,0.131,300,NA,NA,NA
"28",2018-01-02 03:00:00,"Foggy","fog",0,0,8.97,7.99,8.77,0.99,1014.6,1.95,0,0,0.125,294,NA,NA,NA
"29",2018-01-02 04:00:00,"Foggy","fog",0,0,9.25,8.15,9.05,0.99,NA,2.17,0,0,0.119,284,NA,NA,NA
"30",2018-01-02 05:00:00,"Foggy","fog",0,0,9.03,8.55,8.77,0.98,1015,1.6,0,0,0.175,282,NA,NA,NA
"31",2018-01-02 06:00:00,"Foggy","fog",0,0,9.1,8.97,8.83,0.98,1015,1.23,0,0,0.224,305,NA,NA,NA
"32",2018-01-02 07:00:00,"Foggy","fog",0,0,8.65,7.72,8.49,0.99,NA,1.88,0,0,0.259,299,NA,NA,NA
"33",2018-01-02 08:00:00,"Foggy","fog",0,0,8.79,8.18,8.34,0.97,1016.7,1.64,0,0,0.452,294,NA,NA,NA
"34",2018-01-02 09:00:00,"Foggy","fog",0,0,9.35,9.16,8.34,0.93,1016.7,1.23,0,1,0.617,283,NA,NA,NA
"35",2018-01-02 10:00:00,"Foggy","fog",0,0,9.5,9.24,8.46,0.93,NA,1.92,0,2,0.586,269,NA,NA,NA
"36",2018-01-02 11:00:00,"Foggy","fog",0,0,11.72,11.75,9.02,0.84,1016.9,1.17,0,3,0.693,264,NA,NA,NA
"37",2018-01-02 12:00:00,"Foggy","fog",0,0,13.84,13.84,8.96,0.72,1016.9,1.49,0,4,0.856,263,NA,NA,NA
"38",2018-01-02 13:00:00,"Foggy","fog",0,0,14.62,14.62,8.92,0.69,NA,2.18,0,4,0.956,280,NA,NA,NA
