"","time","summary","icon","precipIntensity","precipProbability","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","windGust","windBearing","cloudCover","uvIndex","visibility","ozone","precipType"
"1",2020-01-01 00:00:00,"Mostly Cloudy","partly-cloudy-night",0,0,6.71,6.71,-0.37,0.61,1020.3,1.02,1.72,47,0.87,0,16.093,322.8,NA
"2",2020-01-01 01:00:00,"Mostly Cloudy","partly-cloudy-night",0,0,6.27,6.27,-0.67,0.61,1020.3,1.06,1.77,45,0.68,0,16.093,323.3,NA
"3",2020-01-01 02:00:00,"Partly Cloudy","partly-cloudy-night",0,0,5.87,5.87,-0.85,0.62,1020.4,1.1,1.82,42,0.52,0,16.093,324,NA
"4",2020-01-01 03:00:00,"Partly Cloudy","partly-cloudy-night",0,0,5.42,5.42,-0.98,0.63,1020.3,1.11,1.75,39,0.47,0,16.093,324.9,NA
"5",2020-01-01 04:00:00,"Partly Cloudy","partly-cloudy-night",0,0,4.85,4.85,-1.08,0.66,1020,1.11,1.54,38,0.55,0,16.093,325.8,NA
"6",2020-01-01 05:00:00,"Mostly Cloudy","partly-cloudy-night",0,0,4.31,4.38,-1.1,0.68,1019.9,1.13,1.37,39,0.67,0,16.093,327.6,NA
"7",2020-01-01 06:00:00,"Mostly Cloudy","partly-cloudy-night",0,0,4.19,3.7,-0.85,0.7,1020.4,1.27,1.61,39,0.77,0,16.093,329.3,NA
"8",2020-01-01 07:00:00,"Mostly Cloudy","partly-cloudy-night",0,0,4.13,2.7,-0.51,0.72,1021.2,1.67,2.22,42,0.86,0,16.093,332.9,NA
"9",2020-01-01 08:00:00,"Overcast","cloudy",0,0,4.75,2.96,-0.21,0.7,1021.9,2.12,2.78,49,0.94,0,16.093,338.7,NA
"10",2020-01-01 09:00:00,"Overcast","cloudy",0,0,6.64,4.98,0.51,0.65,1022.5,2.29,3.11,60,0.98,1,16.093,343.4,NA
"11",2020-01-01 10:00:00,"Overcast","cloudy",0,0,9.65,8.99,1.65,0.57,1023.1,2.2,3.21,76,0.99,1,16.093,347.2,NA
"12",2020-01-01 11:00:00,"Overcast","cloudy",0,0,12.9,12.99,2.54,0.49,1023.3,2.08,3.26,91,0.98,2,16.093,350.2,NA
"13",2020-01-01 12:00:00,"Overcast","cloudy",0,0,15.5,15.5,2.67,0.42,1023.1,2.19,3.41,98,0.98,2,16.093,353.5,NA
"14",2020-01-01 13:00:00,"Overcast","cloudy",0.0041,0.01,17.57,17.57,2.4,0.36,1022.2,2.44,3.58,101,0.99,2,16.093,355.4,"rain"
"15",2020-01-01 14:00:00,"Overcast","cloudy",0.0054,0.01,18.08,18.08,2.67,0.36,1021.1,2.61,3.66,102,0.99,2,16.093,355.4,"rain"
"16",2020-01-01 15:00:00,"Overcast","cloudy",0.0042,0.01,17.72,17.72,3.71,0.39,1020.5,2.6,3.7,101,0.99,1,16.093,356.2,"rain"
"17",2020-01-01 16:00:00,"Overcast","cloudy",0,0,17.26,17.26,5,0.44,1020.4,2.39,3.67,97,1,0,16.093,357.4,NA
"18",2020-01-01 17:00:00,"Overcast","cloudy",0,0,16.15,16.15,5.95,0.51,1020.5,2.17,3.71,94,0.99,0,16.093,359.1,NA
"19",2020-01-01 18:00:00,"Overcast","cloudy",0,0,15.31,15.31,6.8,0.57,1020.8,1.89,3.24,82,0.99,0,16.093,359.1,NA
"20",2020-01-01 19:00:00,"Overcast","cloudy",0,0,14.22,14.22,7.19,0.63,1021.4,1.68,2.87,70,0.99,0,16.093,359.9,NA
"21",2020-01-01 20:00:00,"Overcast","cloudy",0,0,12.6,12.6,6.9,0.68,1021.9,1.65,3.09,72,0.99,0,16.093,363.2,NA
"22",2020-01-01 21:00:00,"Overcast","cloudy",0,0,11.49,11.49,6.53,0.72,1022.3,1.61,3.1,69,0.96,0,16.093,366,NA
"23",2020-01-01 22:00:00,"Overcast","cloudy",0,0,10.79,10.79,6,0.72,1022.4,1.59,2.99,62,0.91,0,16.093,368.7,NA
"24",2020-01-01 23:00:00,"Mostly Cloudy","partly-cloudy-night",0,0,10.25,10.28,5.55,0.73,1022.3,1.56,2.62,53,0.86,0,16.093,370.1,NA
"25",2020-01-02 00:00:00,"Mostly Cloudy","partly-cloudy-night",0,0,9.74,9.47,5.17,0.73,1022.2,1.58,2.42,48,0.86,0,16.093,369.7,NA
"26",2020-01-02 01:00:00,"Overcast","cloudy",0,0,9.33,8.65,4.81,0.73,1022.1,1.71,2.72,48,0.89,0,16.093,368.3,NA
"27",2020-01-02 02:00:00,"Overcast","cloudy",0,0,9.02,8.18,4.57,0.74,1022.2,1.85,3.02,49,0.94,0,16.093,366.7,NA
"28",2020-01-02 03:00:00,"Overcast","cloudy",0,0,8.68,7.74,4.32,0.74,1021.9,1.91,3.13,50,0.96,0,16.093,366.3,NA
"29",2020-01-02 04:00:00,"Overcast","cloudy",0,0,8.54,7.6,4.15,0.74,1021.4,1.89,3.07,51,0.96,0,16.093,367.1,NA
